word	positive	negative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	Sum of labels
aallonpohja	0	1	0	0	0	0	0	0	0	0	1
aamen	1	0	0	0	0	0	1	0	0	1	3
aamiainen	1	0	0	0	0	0	0	0	0	0	1
aamuvastaanotto	0	0	0	0	0	0	0	0	0	1	1
aarre	1	0	0	1	0	0	1	0	0	1	4
aasi	0	1	0	0	1	0	0	0	0	0	2
aatelismies	1	0	0	0	0	0	0	0	0	1	2
aatelisto	1	0	0	1	0	0	0	0	0	1	3
aave	0	0	0	0	0	1	0	0	0	0	1
aavemainen	0	1	0	0	0	1	0	0	0	0	2
aavistaa	1	0	0	1	0	0	0	0	1	1	4
abacus	0	0	0	0	0	0	0	0	0	1	1
abba	1	0	0	0	0	0	0	0	0	0	1
abortti	0	1	0	0	1	1	0	1	0	0	4
absoluuttinen	1	0	0	0	0	0	0	0	0	0	1
accueil	1	0	0	0	0	0	0	0	0	0	1
aga	1	0	0	0	0	1	0	0	0	1	3
aggressiivinen	0	1	1	0	0	1	0	0	0	0	3
aggressio	0	1	1	0	0	1	0	0	0	0	3
ahdas	0	1	0	0	0	0	0	0	0	0	1
ahdinko	0	1	0	1	1	1	0	1	0	0	5
ahdistaa	0	1	1	0	0	1	0	0	1	0	4
ahdistava	0	1	1	0	0	1	0	0	0	0	3
ahdistelevaa	0	0	1	0	0	0	0	0	0	0	1
ahdistelu	0	1	1	0	1	1	0	1	0	0	5
ahdisti	0	1	0	0	0	1	0	1	0	0	3
ahdistuneisuus	0	1	1	1	0	1	0	1	0	0	5
ahdistunut	1	0	0	1	0	0	1	0	1	0	4
ahdistus	0	1	1	0	0	1	0	1	0	0	4
ahkeruus	1	0	0	0	0	0	0	0	0	1	2
ahnas	0	1	1	0	0	1	0	1	0	0	4
ahne	0	1	0	0	1	0	0	0	0	0	2
ahneus	0	1	1	0	1	0	0	0	0	0	3
ahtaa	0	1	0	0	0	0	0	1	0	0	2
aidattu	0	0	1	0	0	0	0	0	0	0	1
