word	finnish-fi	emotion	emotion-intensity-score
aaaaaaah	aaaaaaah	fear	0.344
aaaah	aaaah	fear	0.234
jerk	ääliö	anger	0.621
amen	aamen	joy	0.424
amen	aamen	trust	0.516
breakfast	aamiainen	joy	0.242
morning	aamu	joy	0.25
levee	aamuvastaanotto	trust	0.297
loudness	äänekkyys	anger	0.359
electorate	äänestäjät	trust	0.398
vote	äänestys	anger	0.045
vote	äänestys	anticipation	0.547
vote	äänestys	joy	0.234
vote	äänestys	trust	0.555
sonar	ääniluotain	anticipation	0.367
infinity	äärettömyys	anticipation	0.453
infinity	äärettömyys	joy	0.281
infinity	äärettömyys	trust	0.5
treasure	aarre	anticipation	0.648
treasure	aarre	joy	0.652
treasure	aarre	trust	0.5
treasures	aarteita	joy	0.712
donkey	aasi	disgust	0.211
nobleman	aatelismies	trust	0.516
nobility	aatelisto	anticipation	0.352
nobility	aatelisto	trust	0.523
vigil	aatto	anticipation	0.398
ghost	aave	fear	0.672
ghostly	aavemainen	fear	0.754
desert	aavikko	anger	0.206
desert	aavikko	disgust	0.203
desert	aavikko	fear	0.359
foresee	aavistaa	anticipation	0.625
foresee	aavistaa	trust	0.453
foreboding	aavistus	anticipation	0.617
foreboding	aavistus	fear	0.516
abacus	abacus	trust	0.406
abortion	abortti	disgust	0.656
abortion	abortti	fear	0.641
abortion	abortti	sadness	0.766
ada	ada	trust	0.234
addict	addikti	trust	0.172
advent	adventti	anticipation	0.594
advent	adventti	joy	0.152
advent	adventti	trust	0.516
aga	aga	fear	0.219
aga	aga	trust	0.359
aggressive	aggressiivinen	anger	0.667
aggressive	aggressiivinen	fear	0.703
aggressively	aggressiivisesti	anger	0.68
aggression	aggressio	anger	0.702
aggression	aggressio	fear	0.609
agh	agh	anger	0.281
aghhh	aghhh	fear	0.438
agitation	agitaatio	anger	0.68
agoraphobia	agorafobia	fear	0.688
distress	ahdinko	anger	0.469
distress	ahdinko	disgust	0.508
distress	ahdinko	fear	0.656
plight	ahdinko	anticipation	0.461
plight	ahdinko	disgust	0.375
plight	ahdinko	fear	0.516
assail	ahdistaa	anger	0.594
assail	ahdistaa	fear	0.578
distressing	ahdistava	anger	0.371
distressing	ahdistava	fear	0.562
oppressive	ahdistava	anger	0.574
oppressive	ahdistava	disgust	0.633
oppressive	ahdistava	fear	0.656
harry	ahdistella	anger	0.212
molestation	ahdistelu	anger	0.742
molestation	ahdistelu	disgust	0.914
molestation	ahdistelu	fear	0.859
molestation	ahdistelu	sadness	0.744
haunted	ahdisti	fear	0.578
anxious	ahdistunut	anticipation	0.641
anxious	ahdistunut	fear	0.518
anguish	ahdistus	anger	0.5
anguish	ahdistus	fear	0.703
anguish	ahdistus	sadness	0.902
ahhh	ahhh	fear	0.125
ahhhhhhhh	ahhhhhhhh	fear	0.312
diligence	ahkeruus	trust	0.68
gorge	ahmia	disgust	0.492
ravenous	ahnas	anger	0.429
ravenous	ahnas	fear	0.484
greedy	ahne	disgust	0.539
avarice	ahneus	anger	0.49
avarice	ahneus	disgust	0.523
greed	ahneus	anger	0.424
greed	ahneus	disgust	0.5
cram	ahtaa	fear	0.312
fenced	aidattu	anger	0.242
maternal	äidin	anticipation	0.391
gratuitous	aiheeton	disgust	0.242
inflict	aiheuttaa	anger	0.633
inflict	aiheuttaa	fear	0.562
infliction	aiheuttaminen	fear	0.578
time	aika	anticipation	0.516
accomplished	aikaan	joy	0.672
intend	aikoo	trust	0.422
disembodied	aineeton	fear	0.531
unique	ainutlaatuinen	joy	0.375
harbinger	airut	anger	0.426
harbinger	airut	anticipation	0.531
harbinger	airut	fear	0.531
cuckold	aisankannattaja	disgust	0.625
sensuous	aistikas	joy	0.578
sensual	aistillinen	anticipation	0.539
sensual	aistillinen	joy	0.576
sensual	aistillinen	trust	0.445
